iter	Logloss
0	0.4794800941
1	0.3673904906
2	0.2980661189
3	0.235698842
4	0.2025004042
5	0.1748667778
6	0.1545293382
7	0.1404024692
8	0.1311957177
9	0.1234833332
10	0.1141288331
11	0.103779458
12	0.09639464033
13	0.09097336708
14	0.08478837318
15	0.08028077065
16	0.07527726255
17	0.07047785597
18	0.06629046988
19	0.06223639529
20	0.0586654379
21	0.05543888376
22	0.05242821004
23	0.04935764252
24	0.04716535325
25	0.04404246553
26	0.04206604653
27	0.04021876924
28	0.03814552185
29	0.03644969362
30	0.03507081245
31	0.03389927174
32	0.03259821648
33	0.03100640723
34	0.0291134956
35	0.02793727023
36	0.02673332742
37	0.0258828224
38	0.02512957695
39	0.02400630586
40	0.02295165874
41	0.02201534332
42	0.02099594664
43	0.02014280507
44	0.01934027925
45	0.01858910982
46	0.01791525141
47	0.01738654806
48	0.01667021944
49	0.01577497543
50	0.01531554283
51	0.01482824189
52	0.01431508014
53	0.01387014795
54	0.01343373035
55	0.01299577825
56	0.0127161551
57	0.01238254917
58	0.01212954648
59	0.01174925743
60	0.01138184679
61	0.01113893631
62	0.01082877403
63	0.01055928938
64	0.01031551526
65	0.01008886099
66	0.009854908319
67	0.009643047414
68	0.009443432727
69	0.009240296293
70	0.009055963222
71	0.008827499887
72	0.008650699829
73	0.008476185672
74	0.008310596994
75	0.008186891992
76	0.008035545653
77	0.00788377701
78	0.007734445181
79	0.007601347375
80	0.0074591643
81	0.007353671054
82	0.007234842853
83	0.007101733
84	0.006994953815
85	0.006879731062
86	0.00678998866
87	0.006682384521
88	0.006596844247
89	0.006511191738
90	0.006435488133
91	0.006329866166
92	0.006236054796
93	0.006148935633
94	0.006053131311
95	0.005942677564
96	0.005860792196
97	0.005781077958
98	0.005712267566
99	0.00564319466
100	0.005586039513
101	0.005506729826
102	0.005446024398
103	0.005365499791
104	0.005266849982
105	0.005213342131
106	0.005158319118
107	0.005111872516
108	0.005059701331
109	0.005006880836
110	0.004945716959
111	0.004895670617
112	0.004836642679
113	0.004786718399
114	0.004728892382
115	0.004673430894
116	0.00461905624
117	0.004560145926
118	0.004497746838
119	0.004442950513
120	0.004387393594
121	0.004345692219
122	0.004300477657
123	0.004261976227
124	0.004221806818
125	0.0041806273
126	0.004137462758
127	0.004098465468
128	0.004061873289
129	0.004018871391
130	0.003980458417
131	0.003945754564
132	0.003904746568
133	0.003866924884
134	0.003831759412
135	0.003797267346
136	0.00376803095
137	0.003736370421
138	0.003704554223
139	0.003675167231
140	0.003640756645
141	0.003606900573
142	0.003579350862
143	0.003557075845
144	0.003527965951
145	0.003490241284
146	0.003460883143
147	0.003432241843
148	0.003403110707
149	0.003378084365
150	0.003341455409
151	0.003320709505
152	0.003292126224
153	0.003265072057
154	0.00323139353
155	0.00321466872
156	0.003184746555
157	0.003161087949
158	0.003135490925
159	0.003105774205
160	0.003081137196
161	0.003058222697
162	0.003035411556
163	0.003013971004
164	0.002992013667
165	0.002968583969
166	0.002944396531
167	0.00293022521
168	0.002908811924
169	0.002890009829
170	0.002874066855
171	0.00285951603
172	0.002837694072
173	0.002820341194
174	0.002801193202
175	0.00277970224
176	0.002763045595
177	0.002746944732
178	0.002727947654
179	0.002711887055
180	0.002694388019
181	0.002676078614
182	0.002648513209
183	0.00263237113
184	0.002618182371
185	0.00260031794
186	0.002585726691
187	0.002570643387
188	0.002556081465
189	0.002542035377
190	0.002527768308
191	0.002509185608
192	0.00249456535
193	0.002481081384
194	0.002467211098
195	0.002455390831
196	0.002442395116
197	0.00242745591
198	0.002414341303
199	0.002401591615
